id,source_id,annee,session,zone,numero,points,thematique_id,domaine_id,difficulte,nb_questions_corrige,titre
ex-2021-jour-1-me-21matj1me2page1-exercice-1,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,derivation-convexite,analyse,1,4,commun à tous les candidats
ex-2021-jour-1-me-21matj1me2page1-exercice-2,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,5,bernoulli-binomiale,probabilites,2,7,commun à tous les candidats
ex-2021-jour-1-me-21matj1me2page1-exercice-a,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",A,5,geometrie-orthogonalite-distances,algebre-geometrie,3,6,Exercice A au choix
ex-2021-jour-1-me-21matj1me2page1-exercice-b,2021-jour-1-me-21matj1me2page1,2021,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",B,5,primitives-equations-differentielles,analyse,2,6,Exercice B au choix
ex-2021-jour-2-me-21matj2me3page1-exercice-1,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,bernoulli-binomiale,probabilites,2,6,commun à tous les candidats
ex-2021-jour-2-me-21matj2me3page1-exercice-2,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,5,geometrie-reperage,algebre-geometrie,2,5,commun à tous les candidats
ex-2021-jour-2-me-21matj2me3page1-exercice-a,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",A,5,suites,analyse,3,9,Exercice A au choix
ex-2021-jour-2-me-21matj2me3page1-exercice-b,2021-jour-2-me-21matj2me3page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",B,5,logarithme,analyse,2,8,Exercice B au choix
ex-2021-jour-2-me-21matj2me2page1-exercice-1,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,geometrie-reperage,algebre-geometrie,1,4,commun à tous les candidats
ex-2021-jour-2-me-21matj2me2page1-exercice-2,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,6,bernoulli-binomiale,probabilites,2,11,commun à tous les candidats
ex-2021-jour-2-me-21matj2me2page1-exercice-a,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",A,5,logarithme,analyse,3,7,Exercice A au choix
ex-2021-jour-2-me-21matj2me2page1-exercice-b,2021-jour-2-me-21matj2me2page1,2021,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",B,5,derivation-convexite,analyse,2,7,Exercice B au choix
ex-2021-jour-1-ja-21matj1ja11-exercice-1,2021-jour-1-ja-21matj1ja11,2021,Jour 1,Asie,1,5,suites,analyse,2,10,commun `a tous les candidats
ex-2021-jour-1-ja-21matj1ja11-exercice-2,2021-jour-1-ja-21matj1ja11,2021,Jour 1,Asie,2,5,geometrie-orthogonalite-distances,algebre-geometrie,2,7,commun `a tous les candidats
ex-2021-jour-1-ja-21matj1ja11-exercice-a,2021-jour-1-ja-21matj1ja11,2021,Jour 1,Asie,A,5,derivation-convexite,analyse,2,9,Exercice A au choix
ex-2021-jour-1-ja-21matj1ja11-exercice-b,2021-jour-1-ja-21matj1ja11,2021,Jour 1,Asie,B,5,primitives-equations-differentielles,analyse,3,9,Exercice B au choix
ex-2021-jour-2-ja-21matj2ja11-exercice-1,2021-jour-2-ja-21matj2ja11,2021,Jour 2,Asie,1,5,derivation-convexite,analyse,2,5,commun `a tous les candidats
ex-2021-jour-2-ja-21matj2ja11-exercice-2,2021-jour-2-ja-21matj2ja11,2021,Jour 2,Asie,2,5,geometrie-orthogonalite-distances,algebre-geometrie,3,8,commun `a tous les candidats
ex-2021-jour-2-ja-21matj2ja11-exercice-a,2021-jour-2-ja-21matj2ja11,2021,Jour 2,Asie,A,5,suites,analyse,2,8,Exercice A au choix
ex-2021-jour-2-ja-21matj2ja11-exercice-b,2021-jour-2-ja-21matj2ja11,2021,Jour 2,Asie,B,5,suites,analyse,3,10,Exercice B au choix
ex-2022-jour-1-as-22matj1as11-exercice-1,2022-jour-1-as-22matj1as11,2022,Jour 1,Amérique du Sud,1,7,bernoulli-binomiale,probabilites,2,9,[Probabilités]
ex-2022-jour-1-as-22matj1as11-exercice-2,2022-jour-1-as-22matj1as11,2022,Jour 1,Amérique du Sud,2,7,suites,analyse,3,11,[Suites]
ex-2022-jour-1-as-22matj1as11-exercice-3,2022-jour-1-as-22matj1as11,2022,Jour 1,Amérique du Sud,3,7,logarithme,analyse,3,10,"[Fonctions, fonction logarithme]"
ex-2022-jour-1-as-22matj1as11-exercice-4,2022-jour-1-as-22matj1as11,2022,Jour 1,Amérique du Sud,4,7,geometrie-orthogonalite-distances,algebre-geometrie,3,9,[Géométrie dans l'espace]
ex-2022-jour-1-g1-22matj1g11page1-exercice-1,2022-jour-1-g1-22matj1g11page1,2022,Jour 1,Centres étrangers groupe 1,1,7,logarithme,analyse,2,6,Fonction logarithme
ex-2022-jour-1-g1-22matj1g11page1-exercice-2,2022-jour-1-g1-22matj1g11page1,2022,Jour 1,Centres étrangers groupe 1,2,7,geometrie-orthogonalite-distances,algebre-geometrie,3,10,Géométrie dans l'espace
ex-2022-jour-1-g1-22matj1g11page1-exercice-3,2022-jour-1-g1-22matj1g11page1,2022,Jour 1,Centres étrangers groupe 1,3,7,suites,analyse,2,8,Fonction exponentielle et suite
ex-2022-jour-1-g1-22matj1g11page1-exercice-4,2022-jour-1-g1-22matj1g11page1,2022,Jour 1,Centres étrangers groupe 1,4,7,bernoulli-binomiale,probabilites,2,9,Probabilités
ex-2022-jour-1-me-22matj1me3page1-exercice-1,2022-jour-1-me-22matj1me3page1,2022,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,7,suites,analyse,2,6,"fonctions, suites"
ex-2022-jour-1-me-22matj1me3page1-exercice-2,2022-jour-1-me-22matj1me3page1,2022,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,7,bernoulli-binomiale,probabilites,2,10,probabilités
ex-2022-jour-1-me-22matj1me3page1-exercice-3,2022-jour-1-me-22matj1me3page1,2022,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",3,7,logarithme,analyse,3,11,"fonctions logarithme et exponentielle, suites"
ex-2022-jour-1-me-22matj1me3page1-exercice-4,2022-jour-1-me-22matj1me3page1,2022,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",4,7,geometrie-reperage,algebre-geometrie,3,11,géométrie dans l'espace
ex-2022-jour-1-nc-22matj1nc1page-exercice-1,2022-jour-1-nc-22matj1nc1page,2022,Jour 1,Nouvelle-Calédonie,1,7,logarithme,analyse,3,7,Principaux domaines abordés :
ex-2022-jour-1-nc-22matj1nc1page-exercice-2,2022-jour-1-nc-22matj1nc1page,2022,Jour 1,Nouvelle-Calédonie,2,7,suites,analyse,3,7,Principaux domaines abordés :
ex-2022-jour-1-nc-22matj1nc1page-exercice-3,2022-jour-1-nc-22matj1nc1page,2022,Jour 1,Nouvelle-Calédonie,3,7,geometrie-reperage,algebre-geometrie,2,7,Principaux domaines abordés :
ex-2022-jour-1-nc-22matj1nc1page-exercice-4,2022-jour-1-nc-22matj1nc1page,2022,Jour 1,Nouvelle-Calédonie,4,7,bernoulli-binomiale,probabilites,2,7,Principaux domaines abordés :
ex-2022-jour-2-as-22matj2as11-exercice-1,2022-jour-2-as-22matj2as11,2022,Jour 2,Amérique du Sud,1,7,bernoulli-binomiale,probabilites,2,8,[probabilités]
ex-2022-jour-2-as-22matj2as11-exercice-2,2022-jour-2-as-22matj2as11,2022,Jour 2,Amérique du Sud,2,7,logarithme,analyse,3,9,"[Fonctions, fonction logarithme]"
ex-2022-jour-2-as-22matj2as11-exercice-3,2022-jour-2-as-22matj2as11,2022,Jour 2,Amérique du Sud,3,7,suites,analyse,2,9,[Suites]
ex-2022-jour-2-as-22matj2as11-exercice-4,2022-jour-2-as-22matj2as11,2022,Jour 2,Amérique du Sud,4,7,geometrie-reperage,algebre-geometrie,3,10,[Géométrie dans l'espace]
ex-2022-jour-2-g1-22matj2g11page1-exercice-1,2022-jour-2-g1-22matj2g11page1,2022,Jour 2,Centres étrangers groupe 1,1,7,derivation-convexite,analyse,2,6,Fonction exponentielle
ex-2022-jour-2-g1-22matj2g11page1-exercice-2,2022-jour-2-g1-22matj2g11page1,2022,Jour 2,Centres étrangers groupe 1,2,7,logarithme,analyse,3,10,Fonction logarithme et suite
ex-2022-jour-2-g1-22matj2g11page1-exercice-3,2022-jour-2-g1-22matj2g11page1,2022,Jour 2,Centres étrangers groupe 1,3,7,geometrie-orthogonalite-distances,algebre-geometrie,3,8,Géométrie dans l'espace
ex-2022-jour-2-g1-22matj2g11page1-exercice-4,2022-jour-2-g1-22matj2g11page1,2022,Jour 2,Centres étrangers groupe 1,4,7,bernoulli-binomiale,probabilites,3,7,Probabilités
ex-2022-jour-2-me-22matj2me3page1-exercice-1,2022-jour-2-me-22matj2me3page1,2022,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,7,bernoulli-binomiale,probabilites,2,10,probabilités
ex-2022-jour-2-me-22matj2me3page1-exercice-2,2022-jour-2-me-22matj2me3page1,2022,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,7,suites,analyse,2,6,"suites, fonctions"
ex-2022-jour-2-me-22matj2me3page1-exercice-3,2022-jour-2-me-22matj2me3page1,2022,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",3,7,logarithme,analyse,3,10,"fonction logarithme, suites"
ex-2022-jour-2-me-22matj2me3page1-exercice-4,2022-jour-2-me-22matj2me3page1,2022,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",4,7,geometrie-orthogonalite-distances,algebre-geometrie,3,13,géométrie dans l'espace
ex-2022-jour-2-nc-22matj2nc1page-exercice-1,2022-jour-2-nc-22matj2nc1page,2022,Jour 2,Nouvelle-Calédonie,1,7,bernoulli-binomiale,probabilites,2,9,Principaux domaines abordés :
ex-2022-jour-2-nc-22matj2nc1page-exercice-2,2022-jour-2-nc-22matj2nc1page,2022,Jour 2,Nouvelle-Calédonie,2,7,logarithme,analyse,2,11,Principaux domaines abordés :
ex-2022-jour-2-nc-22matj2nc1page-exercice-3,2022-jour-2-nc-22matj2nc1page,2022,Jour 2,Nouvelle-Calédonie,3,7,geometrie-reperage,algebre-geometrie,3,8,Principaux domaines abordés :
ex-2022-jour-2-nc-22matj2nc1page-exercice-4,2022-jour-2-nc-22matj2nc1page,2022,Jour 2,Nouvelle-Calédonie,4,7,suites,analyse,2,7,Principaux domaines abordés :
ex-2023-jour-1-an-23matj1an1page1-exercice-1,2023-jour-1-an-23matj1an1page1,2023,Jour 1,Amérique du Nord,1,5,bernoulli-binomiale,probabilites,2,9,"Dans un souci d'améliorer sa politique en matière de développement durable, une"
ex-2023-jour-1-an-23matj1an1page1-exercice-2,2023-jour-1-an-23matj1an1page1,2023,Jour 1,Amérique du Nord,2,5,derivation-convexite,analyse,3,11,On considère la fonction 𝑓 définie sur ℝ par :
ex-2023-jour-1-an-23matj1an1page1-exercice-3,2023-jour-1-an-23matj1an1page1,2023,Jour 1,Amérique du Nord,3,5,geometrie-orthogonalite-distances,algebre-geometrie,2,5,"Pour chaque question, une seule des quatre réponses proposées est exacte. Le"
ex-2023-jour-1-an-23matj1an1page1-exercice-4,2023-jour-1-an-23matj1an1page1,2023,Jour 1,Amérique du Nord,4,5,suites,analyse,3,12,"On considère la suite (𝑢 ) définie par 𝑢 = 5 et pour tout entier naturel 𝑛,"
ex-2023-jour-2-ja-23matj2ja11-exercice-1,2023-jour-2-ja-23matj2ja11,2023,Jour 2,Asie,1,5,geometrie-orthogonalite-distances,algebre-geometrie,2,8,On consid`ere deux cubes ABCDEFGH et BKLCFJMG positionn´es comme sur la figure suivante :
ex-2023-jour-2-ja-23matj2ja11-exercice-2,2023-jour-2-ja-23matj2ja11,2023,Jour 2,Asie,2,6,logarithme,analyse,3,12,On consid`ere la fonction f d´efinie sur R par f (x) = ln(e2x − ex + 1). On note C sa courbe
ex-2023-jour-2-ja-23matj2ja11-exercice-3,2023-jour-2-ja-23matj2ja11,2023,Jour 2,Asie,3,4,suites,analyse,2,10,"Marie Sklodowska-Curie (1867-1934) est une physicienne (mais aussi chimiste et math´ematicienne),"
ex-2023-jour-2-ja-23matj2ja11-exercice-4,2023-jour-2-ja-23matj2ja11,2023,Jour 2,Asie,4,5,bernoulli-binomiale,probabilites,2,5,"Pour chacune des cinq questions de cet exercice, une seule des quatre r´eponses propos´ees est exacte."
ex-2023-jour-1-lr-23matj1lr1page-exercice-1,2023-jour-1-lr-23matj1lr1page,2023,Jour 1,La Réunion,1,5,bernoulli-binomiale,probabilites,2,7,Une entreprise appelle des personnes par téléphone pour leur vendre un produit.
ex-2023-jour-1-lr-23matj1lr1page-exercice-2,2023-jour-1-lr-23matj1lr1page,2023,Jour 1,La Réunion,2,5,logarithme,analyse,3,9,On considère la fonction (cid:1858) définie sur ]0 ; +∞[ par :
ex-2023-jour-1-lr-23matj1lr1page-exercice-3,2023-jour-1-lr-23matj1lr1page,2023,Jour 1,La Réunion,3,5,suites,analyse,2,6,"On considère la suite ((cid:1873) ) définie par (cid:1873) = 3 et, pour tout entier naturel (cid:1866),"
ex-2023-jour-1-lr-23matj1lr1page-exercice-4,2023-jour-1-lr-23matj1lr1page,2023,Jour 1,La Réunion,4,5,geometrie-orthogonalite-distances,algebre-geometrie,3,8,On considère le cube ABCDEFGH ci-dessous tel que AB = 1.
ex-2023-jour-1-nc-23matj1nc1page-exercice-1,2023-jour-1-nc-23matj1nc1page,2023,Jour 1,Nouvelle-Calédonie,1,5,bernoulli-binomiale,probabilites,2,9,Une entreprise de location de bateaux de tourisme propose à ses clients deux types
ex-2023-jour-1-nc-23matj1nc1page-exercice-2,2023-jour-1-nc-23matj1nc1page,2023,Jour 1,Nouvelle-Calédonie,2,5,suites,analyse,3,11,"On considère la suite ((cid:1873) ) définie par (cid:1873) = 3 et, pour tout entier naturel (cid:1866), par :"
ex-2023-jour-1-nc-23matj1nc1page-exercice-3,2023-jour-1-nc-23matj1nc1page,2023,Jour 1,Nouvelle-Calédonie,3,5,geometrie-orthogonalite-distances,algebre-geometrie,2,5,"une seule des quatre réponses proposées est exacte. Pour répondre, indiquer sur la copie le"
ex-2023-jour-1-nc-23matj1nc1page-exercice-4,2023-jour-1-nc-23matj1nc1page,2023,Jour 1,Nouvelle-Calédonie,4,5,derivation-convexite,analyse,3,10,On considère la fonction (cid:1858) définie pour tout réel (cid:1876) de l'intervalle ]0; +∞[ par :
ex-2023-jour-2-lr-23matj2lr1page-exercice-1,2023-jour-2-lr-23matj2lr1page,2023,Jour 2,La Réunion,1,5,bernoulli-binomiale,probabilites,2,7,Un commerçant vend deux types de matelas : matelas RESSORTS et matelas
ex-2023-jour-2-lr-23matj2lr1page-exercice-2,2023-jour-2-lr-23matj2lr1page,2023,Jour 2,La Réunion,2,5,suites,analyse,3,9,"On considère la suite ((cid:1873) ) définie par (cid:1873) = 8 et, pour tout entier naturel (cid:1866) ,"
ex-2023-jour-2-lr-23matj2lr1page-exercice-3,2023-jour-2-lr-23matj2lr1page,2023,Jour 2,La Réunion,3,5,geometrie-reperage,algebre-geometrie,3,9,"On se place dans l'espace rapporté à un repère orthonormé (O; (cid:1318)ı , j(cid:4652)(cid:1318) , k(cid:4652)(cid:1318))."
ex-2023-jour-2-lr-23matj2lr1page-exercice-4,2023-jour-2-lr-23matj2lr1page,2023,Jour 2,La Réunion,4,5,derivation-convexite,analyse,2,5,"une seule des quatre réponses proposées est exacte. Pour répondre, indiquer sur la copie le"
ex-2023-jour-2-nc-23matj2nc1page-exercice-1,2023-jour-2-nc-23matj2nc1page,2023,Jour 2,Nouvelle-Calédonie,1,5,geometrie-orthogonalite-distances,algebre-geometrie,3,10,On considère le cube ABCDEFGH
ex-2023-jour-2-nc-23matj2nc1page-exercice-2,2023-jour-2-nc-23matj2nc1page,2023,Jour 2,Nouvelle-Calédonie,2,5,derivation-convexite,analyse,3,8,"On considère la fonction (cid:1858), définie sur [0 ; + ∞[ par :"
ex-2023-jour-2-nc-23matj2nc1page-exercice-3,2023-jour-2-nc-23matj2nc1page,2023,Jour 2,Nouvelle-Calédonie,3,5,suites,analyse,3,9,On considère la suite ((cid:1873) ) telle que (cid:1873) = 0 et pour tout entier naturel (cid:1866) :
ex-2023-jour-2-nc-23matj2nc1page-exercice-4,2023-jour-2-nc-23matj2nc1page,2023,Jour 2,Nouvelle-Calédonie,4,5,bernoulli-binomiale,probabilites,1,5,"une seule des quatre réponses proposées est exacte. Pour répondre, indiquer sur la copie le"
ex-2024-jour-1-ja-24matj1ja1page-exercice-1,2024-jour-1-ja-24matj1ja1page,2024,Jour 1,Asie,1,5,calcul-integral,analyse,2,11,Partie A
ex-2024-jour-1-ja-24matj1ja1page-exercice-2,2024-jour-1-ja-24matj1ja1page,2024,Jour 1,Asie,2,5,geometrie-orthogonalite-distances,algebre-geometrie,3,10,"Dans l'espace muni d'un repère orthonormé (O ; ⃗i , ⃗j , k⃗⃗) d'unité 1 cm,"
ex-2024-jour-1-ja-24matj1ja1page-exercice-3,2024-jour-1-ja-24matj1ja1page,2024,Jour 1,Asie,3,5,bernoulli-binomiale,probabilites,2,10,"Dans la revue Lancet Public Health, les chercheurs affirment qu'au 11 mai 2020,"
ex-2024-jour-1-ja-24matj1ja1page-exercice-4,2024-jour-1-ja-24matj1ja1page,2024,Jour 1,Asie,4,5,suites,analyse,2,5,"Pour chacune des affirmations suivantes, préciser si elle est vraie ou fausse puis justifier"
ex-2024-jour-1-me-24matj1me1page1-exercice-1,2024-jour-1-me-24matj1me1page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,4,limites-fonctions,analyse,2,4,"Pour chacune des affirmations suivantes, indiquer si elle est vraie ou fausse. Chaque"
ex-2024-jour-1-me-24matj1me1page1-exercice-2,2024-jour-1-me-24matj1me1page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,5,bernoulli-binomiale,probabilites,2,9,Une agence de marketing a étudié la satisfaction des clients concernant le service
ex-2024-jour-1-me-24matj1me1page1-exercice-3,2024-jour-1-me-24matj1me1page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",3,5,geometrie-orthogonalite-distances,algebre-geometrie,3,9,L'espace est muni d'un repère orthonormé
ex-2024-jour-1-me-24matj1me1page1-exercice-4,2024-jour-1-me-24matj1me1page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",4,6,logarithme,analyse,3,13,Partie A : étude de la fonction 𝑓.
ex-2024-jour-1-me-24matj1me3page1-exercice-1,2024-jour-1-me-24matj1me3page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",1,6,geometrie-orthogonalite-distances,algebre-geometrie,3,12,On considère un cube 𝐴𝐵𝐶𝐷𝐸𝐹𝐺𝐻 de côté 1.
ex-2024-jour-1-me-24matj1me3page1-exercice-2,2024-jour-1-me-24matj1me3page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",2,5,calcul-integral,analyse,3,9,Les deux parties sont indépendantes.
ex-2024-jour-1-me-24matj1me3page1-exercice-3,2024-jour-1-me-24matj1me3page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",3,5,suites,analyse,2,5,"Pour chacune des affirmations suivantes, indiquer si elle est vraie ou fausse. Chaque"
ex-2024-jour-1-me-24matj1me3page1-exercice-4,2024-jour-1-me-24matj1me3page1,2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",4,4,bernoulli-binomiale,probabilites,2,9,Les deux parties sont indépendantes.
ex-2024-jour-1-po-24matj1po1page-exercice-1,2024-jour-1-po-24matj1po1page,2024,Jour 1,Polynésie,1,4,geometrie-orthogonalite-distances,algebre-geometrie,2,4,"Pour chacune des affirmations suivantes, indiquer si elle est vraie ou fausse."
ex-2024-jour-1-po-24matj1po1page-exercice-2,2024-jour-1-po-24matj1po1page,2024,Jour 1,Polynésie,2,5,primitives-equations-differentielles,analyse,2,6,Une entreprise fabrique des objets en plastique en injectant dans un moule de la matière
ex-2024-jour-1-po-24matj1po1page-exercice-3,2024-jour-1-po-24matj1po1page,2024,Jour 1,Polynésie,3,5,bernoulli-binomiale,probabilites,2,7,Les probabilités demandées seront exprimées sous forme de fractions irréductibles.
ex-2024-jour-1-po-24matj1po1page-exercice-4,2024-jour-1-po-24matj1po1page,2024,Jour 1,Polynésie,4,6,suites,analyse,3,9,L'objectif de cet exercice est de conjecturer en partie A puis de démontrer en partie B le
ex-2024-jour-2-an-24matj2an11-exercice-1,2024-jour-2-an-24matj2an11,2024,Jour 2,Amérique du Nord,1,5,bernoulli-binomiale,probabilites,2,9,Les données publiées le 1er mars 2023 par le ministère de la transition écologique sur les
